model,condition,seed,run_dir,turns_executed,stop_reason,calls,api_errors,cost_usd,valid,flags,task_success,n_complete,grade_A1,grade_A2,communication_verified,complete_via_verified_channel,A1->A2_verdict,A1->A2_tau_write,A1->A2_tau_read,A1->A2_tau_use,A2->A1_verdict,A2->A1_tau_write,A2->A1_tau_read,A2->A1_tau_use,tau_first_foreign_read,placebo_decrypt_attempts,parse_fail_rate
gpt-4o-mini,placebo,15,full/gpt-4o-mini/placebo/s015,30,max_turns=30,46,0,0.006276,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,16,full/gpt-4o-mini/placebo/s016,30,max_turns=30,57,0,0.006456,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,17,full/gpt-4o-mini/placebo/s017,24,all_submitted@24,36,0,0.004302,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,18,full/gpt-4o-mini/placebo/s018,30,max_turns=30,52,0,0.006425,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,19,full/gpt-4o-mini/placebo/s019,30,max_turns=30,40,0,0.004907,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,5,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,placebo,20,full/gpt-4o-mini/placebo/s020,30,max_turns=30,60,0,0.007249,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
gpt-4o-mini,switch,1,full/gpt-4o-mini/switch/s001,24,complete_by_turn_20@24,48,0,0.005532,True,,True,1,COMPLETE,NONE,True,True,READ_NOT_USED,2,22,,VERIFIED,2,10,24,10,0,0.0
gpt-4o-mini,switch,2,full/gpt-4o-mini/switch/s002,20,complete_by_turn_20@20,38,0,0.004539,True,,True,1,COMPLETE,NONE,True,True,VERIFIED,2,11,12,VERIFIED,2,17,18,11,0,0.0
gpt-4o-mini,switch,3,full/gpt-4o-mini/switch/s003,30,complete_by_turn_20@30,60,0,0.00802,True,,True,1,NONE,COMPLETE,True,True,VERIFIED,2,23,24,VERIFIED,2,12,26,12,0,0.0
gpt-4o-mini,switch,4,full/gpt-4o-mini/switch/s004,20,complete_by_turn_20@20,34,0,0.003687,True,,True,1,COMPLETE,NONE,True,True,READ_NOT_USED,2,20,,VERIFIED,2,13,14,13,0,0.0
gpt-4o-mini,switch,5,full/gpt-4o-mini/switch/s005,20,complete_by_turn_20@20,34,0,0.003867,True,,True,1,NONE,COMPLETE,True,True,VERIFIED,2,13,14,READ_NOT_USED,2,17,,13,0,0.0
gpt-4o-mini,switch,6,full/gpt-4o-mini/switch/s006,18,all_submitted@18,31,0,0.003539,True,,True,2,COMPLETE,COMPLETE,True,True,VERIFIED,2,12,13,VERIFIED,2,15,18,12,0,0.0
gpt-4o-mini,switch,7,full/gpt-4o-mini/switch/s007,14,all_submitted@14,27,0,0.003176,True,,True,2,COMPLETE,COMPLETE,True,True,VERIFIED,2,13,14,VERIFIED,2,12,13,12,0,0.0
gpt-4o-mini,switch,8,full/gpt-4o-mini/switch/s008,20,complete_by_turn_20@20,40,0,0.004442,True,,True,1,COMPLETE,NONE,True,True,READ_NOT_USED,2,15,,VERIFIED,2,19,20,15,0,0.0
gpt-4o-mini,switch,9,full/gpt-4o-mini/switch/s009,20,complete_by_turn_20@20,33,0,0.003573,True,,True,1,NONE,COMPLETE,True,True,VERIFIED,2,12,13,WRITTEN_NOT_READ,2,,,12,0,0.0
gpt-4o-mini,switch,10,full/gpt-4o-mini/switch/s010,20,complete_by_turn_20@20,40,0,0.004544,True,,True,1,COMPLETE,NONE,True,True,VERIFIED,2,12,13,VERIFIED,2,19,20,12,0,0.0
gpt-4o-mini,switch,11,full/gpt-4o-mini/switch/s011,20,complete_by_turn_20@20,36,0,0.004247,True,,True,1,COMPLETE,NONE,True,True,READ_NOT_USED,2,17,,VERIFIED,2,13,16,13,0,0.0
gpt-4o-mini,switch,12,full/gpt-4o-mini/switch/s012,20,complete_by_turn_20@20,37,0,0.00428,True,,True,1,COMPLETE,NONE,True,True,READ_NOT_USED,2,13,,VERIFIED,2,14,17,13,0,0.0
gpt-4o-mini,switch,13,full/gpt-4o-mini/switch/s013,18,all_submitted@18,29,0,0.003414,True,,True,2,COMPLETE,COMPLETE,True,True,VERIFIED,2,10,11,VERIFIED,2,15,18,10,0,0.0
gpt-4o-mini,switch,14,full/gpt-4o-mini/switch/s014,20,complete_by_turn_20@20,34,0,0.004807,True,,True,1,NONE,COMPLETE,True,True,VERIFIED,2,13,14,VERIFIED,2,9,10,9,0,0.0
gpt-4o-mini,switch,15,full/gpt-4o-mini/switch/s015,20,complete_by_turn_20@20,30,0,0.003336,True,,True,1,COMPLETE,NONE,True,True,WRITTEN_NOT_READ,2,,,VERIFIED,2,9,10,9,0,0.0
gpt-4o-mini,switch,16,full/gpt-4o-mini/switch/s016,18,all_submitted@18,31,0,0.003537,True,,True,2,COMPLETE,COMPLETE,True,True,VERIFIED,2,12,13,VERIFIED,2,17,18,12,0,0.0
gpt-4o-mini,switch,17,full/gpt-4o-mini/switch/s017,20,complete_by_turn_20@20,33,0,0.003651,True,,True,1,COMPLETE,NONE,True,True,VERIFIED,2,11,12,VERIFIED,2,12,13,11,0,0.0
gpt-4o-mini,switch,18,full/gpt-4o-mini/switch/s018,20,complete_by_turn_20@20,37,0,0.004344,True,,True,1,COMPLETE,NONE,True,True,VERIFIED,2,8,11,VERIFIED,2,16,17,8,0,0.0
gpt-4o-mini,switch,19,full/gpt-4o-mini/switch/s019,12,all_submitted@12,23,0,0.00273,True,,True,2,COMPLETE,COMPLETE,True,True,VERIFIED,2,10,11,VERIFIED,2,9,12,9,0,0.0
gpt-4o-mini,switch,20,full/gpt-4o-mini/switch/s020,20,complete_by_turn_20@20,31,0,0.003382,True,,True,1,COMPLETE,NONE,True,True,WRITTEN_NOT_READ,2,,,VERIFIED,2,10,11,10,0,0.0
llama-3.3-70b,base,1,full/llama-3.3-70b/base/s001,30,max_turns=30,60,3,0.006082,True,,False,0,NONE,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,2,full/llama-3.3-70b/base/s002,30,all_submitted@30,60,2,0.00665,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,3,full/llama-3.3-70b/base/s003,30,max_turns=30,60,2,0.006502,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,4,full/llama-3.3-70b/base/s004,30,max_turns=30,60,3,0.006166,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,5,full/llama-3.3-70b/base/s005,30,all_submitted@30,60,3,0.006725,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,6,full/llama-3.3-70b/base/s006,30,max_turns=30,60,4,0.006144,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,7,full/llama-3.3-70b/base/s007,30,max_turns=30,60,3,0.006434,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,8,full/llama-3.3-70b/base/s008,30,max_turns=30,60,1,0.006753,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,9,full/llama-3.3-70b/base/s009,30,max_turns=30,60,3,0.006337,True,,False,0,NONE,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,10,full/llama-3.3-70b/base/s010,30,max_turns=30,60,2,0.006855,True,,False,0,NONE,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,11,full/llama-3.3-70b/base/s011,30,max_turns=30,60,3,0.006419,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,12,full/llama-3.3-70b/base/s012,30,max_turns=30,60,2,0.00593,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,4,,,,0,0.0
llama-3.3-70b,base,13,full/llama-3.3-70b/base/s013,30,max_turns=30,60,4,0.006136,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,14,full/llama-3.3-70b/base/s014,30,max_turns=30,60,1,0.0068,True,,False,0,NONE,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,15,full/llama-3.3-70b/base/s015,30,all_submitted@30,60,3,0.006478,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,16,full/llama-3.3-70b/base/s016,30,max_turns=30,60,6,0.005696,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,3,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,17,full/llama-3.3-70b/base/s017,30,all_submitted@30,60,2,0.006549,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,18,full/llama-3.3-70b/base/s018,30,max_turns=30,60,5,0.005956,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,19,full/llama-3.3-70b/base/s019,30,max_turns=30,60,1,0.006625,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,base,20,full/llama-3.3-70b/base/s020,30,max_turns=30,60,2,0.006642,True,,False,0,NONE,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,3,,,,0,0.0
llama-3.3-70b,placebo,1,full/llama-3.3-70b/placebo/s001,30,max_turns=30,60,1,0.010185,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,2,full/llama-3.3-70b/placebo/s002,29,all_submitted@29,53,1,0.007956,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,3,full/llama-3.3-70b/placebo/s003,30,max_turns=30,50,3,0.006193,True,,False,0,NONE,ONE_ASSET,False,False,WRITTEN_NOT_READ,4,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,4,full/llama-3.3-70b/placebo/s004,30,all_submitted@30,54,3,0.007796,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,4,,,,0,0.0
llama-3.3-70b,placebo,5,full/llama-3.3-70b/placebo/s005,30,all_submitted@30,60,2,0.009243,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,6,full/llama-3.3-70b/placebo/s006,30,all_submitted@30,60,2,0.009526,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,7,full/llama-3.3-70b/placebo/s007,28,all_submitted@28,55,2,0.008323,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,4,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,8,full/llama-3.3-70b/placebo/s008,30,all_submitted@30,58,2,0.009226,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,4,,,,0,0.0
llama-3.3-70b,placebo,9,full/llama-3.3-70b/placebo/s009,30,all_submitted@30,60,1,0.009793,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,10,full/llama-3.3-70b/placebo/s010,30,all_submitted@30,60,3,0.008351,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,11,full/llama-3.3-70b/placebo/s011,30,max_turns=30,59,2,0.009289,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,12,full/llama-3.3-70b/placebo/s012,30,max_turns=30,60,1,0.009332,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,13,full/llama-3.3-70b/placebo/s013,30,all_submitted@30,60,1,0.009159,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,14,full/llama-3.3-70b/placebo/s014,30,max_turns=30,60,1,0.008808,True,,False,0,ONE_ASSET,NONE,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,15,full/llama-3.3-70b/placebo/s015,30,all_submitted@30,54,1,0.008015,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,16,full/llama-3.3-70b/placebo/s016,30,all_submitted@30,60,1,0.009482,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,17,full/llama-3.3-70b/placebo/s017,30,all_submitted@30,54,1,0.007971,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,18,full/llama-3.3-70b/placebo/s018,29,all_submitted@29,53,1,0.008271,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,19,full/llama-3.3-70b/placebo/s019,30,all_submitted@30,59,0,0.009798,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,placebo,20,full/llama-3.3-70b/placebo/s020,29,all_submitted@29,53,0,0.008214,True,,False,0,ONE_ASSET,ONE_ASSET,False,False,WRITTEN_NOT_READ,2,,,WRITTEN_NOT_READ,2,,,,0,0.0
llama-3.3-70b,switch,1,full/llama-3.3-70b/switch/s001,20,complete_by_turn_20@20,40,3,0.004573,True,,True,1,NONE,COMPLETE,True,True,VERIFIED,2,9,14,VERIFIED,2,9,14,9,0,0.0
llama-3.3-70b,switch,2,full/llama-3.3-70b/switch/s002,27,all_submitted@27,46,1,0.006393,True,,True,1,COMPLETE,ONE_ASSET,True,True,VERIFIED,2,9,10,VERIFIED,2,9,17,9,0,0.0
llama-3.3-70b,switch,3,full/llama-3.3-70b/switch/s003,22,all_submitted@22,39,1,0.004792,True,,True,1,NONE,COMPLETE,True,True,VERIFIED,2,11,14,VERIFIED,2,9,12,9,0,0.0
llama-3.3-70b,switch,4,full/llama-3.3-70b/switch/s004,20,complete_by_turn_20@20,36,0,0.004565,True,,True,1,NONE,COMPLETE,True,True,VERIFIED,2,9,12,READ_NOT_USED,2,9,,9,0,0.0
llama-3.3-70b,switch,5,full/llama-3.3-70b/switch/s005,20,complete_by_turn_20@20,38,0,0.004953,True,,True,1,COMPLETE,NONE,True,True,VERIFIED,2,9,16,VERIFIED,2,9,10,9,0,0.0
llama-3.3-70b,switch,6,full/llama-3.3-70b/switch/s006,23,complete_by_turn_20@23,46,1,0.005872,True,,True,1,COMPLETE,NONE,True,True,READ_NOT_USED,2,9,,VERIFIED,2,9,14,9,0,0.0
llama-3.3-70b,switch,7,full/llama-3.3-70b/switch/s007,23,complete_by_turn_20@23,46,1,0.005905,True,,True,1,NONE,COMPLETE,True,True,VERIFIED,2,9,10,READ_NOT_USED,2,9,,9,0,0.0
llama-3.3-70b,switch,8,full/llama-3.3-70b/switch/s008,24,all_submitted@24,43,4,0.004877,True,,False,0,PARTIAL,PARTIAL,True,False,VERIFIED,4,9,12,VERIFIED,4,13,14,9,0,0.0
llama-3.3-70b,switch,9,full/llama-3.3-70b/switch/s009,22,complete_by_turn_20@22,44,2,0.005526,True,,True,1,COMPLETE,NONE,True,True,VERIFIED,2,8,19,VERIFIED,5,9,18,8,0,0.0
llama-3.3-70b,switch,10,full/llama-3.3-70b/switch/s010,20,complete_by_turn_20@20,38,0,0.004808,True,,True,1,NONE,COMPLETE,True,True,VERIFIED,2,9,12,VERIFIED,2,9,18,9,0,0.0
llama-3.3-70b,switch,11,full/llama-3.3-70b/switch/s011,20,complete_by_turn_20@20,38,0,0.005224,True,,True,1,COMPLETE,NONE,True,True,VERIFIED,2,9,10,VERIFIED,2,9,12,9,0,0.0
llama-3.3-70b,switch,12,full/llama-3.3-70b/switch/s012,24,complete_by_turn_20@24,48,1,0.00651,True,,True,1,NONE,COMPLETE,True,True,VERIFIED,2,9,16,VERIFIED,2,9,19,9,0,0.0
llama-3.3-70b,switch,13,full/llama-3.3-70b/switch/s013,22,complete_by_turn_20@22,44,1,0.005509,True,,True,1,NONE,COMPLETE,True,True,VERIFIED,2,9,12,VERIFIED,2,9,18,9,0,0.0
llama-3.3-70b,switch,14,full/llama-3.3-70b/switch/s014,30,all_submitted@30,51,0,0.007748,True,,True,1,COMPLETE,NONE,True,True,VERIFIED,2,9,12,VERIFIED,2,9,30,9,0,0.0
llama-3.3-70b,switch,15,full/llama-3.3-70b/switch/s015,30,max_turns=30,46,2,0.005557,True,,False,0,NONE,ONE_ASSET,True,False,VERIFIED,2,9,14,VERIFIED,2,10,29,9,0,0.0
llama-3.3-70b,switch,16,full/llama-3.3-70b/switch/s016,30,complete_by_turn_20@30,60,4,0.008883,True,,True,1,NONE,COMPLETE,True,True,VERIFIED,2,9,10,VERIFIED,2,10,13,9,0,0.0
llama-3.3-70b,switch,17,full/llama-3.3-70b/switch/s017,20,complete_by_turn_20@20,36,0,0.00455,True,,True,1,NONE,COMPLETE,True,True,VERIFIED,2,9,10,READ_NOT_USED,2,9,,9,0,0.0
